player_id,age,role,matches,runs,batting_average,strike_rate,fifties,hundreds,wickets,economy,catches,fitness_score,raw_score,talent_score,future_potential,auction_value_cr
1,31,Batter,16,1978,54.13,170.2,8,6,214,9.05,37,64,71.5685,47.860223207788536,Low,10.07827939728447
2,31,Batter,167,6103,32.72,169.6,10,18,219,6.32,94,78,80.976,62.272215456028704,Medium,10.88968939501728
3,28,Batter,230,6446,36.28,92.74,49,12,278,7.33,0,97,74.023,51.62043952171948,Medium,11.294288221222295
4,23,Batter,80,4085,52.01,87.73,24,4,277,6.96,113,99,78.58200000000001,58.60468322724455,Medium,12.932283250928469
5,18,Batter,29,5699,37.17,183.82,19,18,198,5.84,120,77,83.4135,66.00638830801758,Medium,11.11866214344009
6,20,Wicketkeeper,80,4990,37.14,162.82,18,18,294,5.4,7,75,77.488,56.92870985285445,Medium,11.130002506810856
7,27,Bowler,60,3923,48.61,94.83,8,7,122,7.9,11,70,58.373,27.645134851513976,Low,7.6324198929050935
8,21,Bowler,205,2089,19.52,159.23,42,4,124,9.5,64,67,59.0925,28.747386079003622,Low,6.4240559724768165
9,22,Batter,95,2814,32.93,170.43,9,10,245,5.0,63,83,75.575,53.99805440019612,Medium,10.262968247052136
10,18,All-Rounder,83,6923,25.41,90.12,0,9,118,7.61,15,91,63.116499999999995,34.91202671752802,Low,7.524782693545784
11,18,All-Rounder,15,488,60.86,147.72,18,18,232,5.23,66,91,75.999,54.647608980398466,Medium,11.198852051633615
12,18,Wicketkeeper,51,2293,41.67,170.01,47,8,216,5.99,15,93,75.30499999999999,53.584422945821956,Medium,10.395677417797067
13,31,Bowler,240,6676,47.61,156.68,33,20,245,7.53,88,95,89.15650000000001,74.80448253939076,High,13.379729389722094
14,19,All-Rounder,37,3146,40.32,188.36,6,1,295,7.2,102,95,88.226,73.37898599014947,High,12.440858476686047
15,21,Bowler,12,6619,29.22,115.55,42,0,175,8.35,91,63,66.9255,40.747294160902655,Low,7.098870499833749
16,23,All-Rounder,193,5455,47.01,177.24,26,15,294,8.56,105,93,92.44850000000001,79.84772234605637,High,13.91392846998515
17,19,All-Rounder,246,6390,36.97,189.31,12,10,342,7.63,81,76,90.569,76.9683878331074,High,13.239523223143527
18,27,Batter,109,527,38.74,185.03,32,14,99,7.76,9,88,65.8935,39.166302824183674,Low,7.985953948716005
19,34,Wicketkeeper,118,2963,22.7,96.94,30,12,342,9.05,39,66,61.692,32.729737803616985,Low,8.239961742601093
20,32,Wicketkeeper,148,5436,40.34,166.29,22,19,302,7.34,45,64,79.25049999999999,59.62880406890794,Medium,10.76692855622315
21,25,Bowler,186,7893,36.26,147.72,22,10,206,5.31,44,69,76.759,55.81190492604424,Medium,10.841814877065202
22,23,Wicketkeeper,208,2047,32.92,139.98,28,3,14,9.09,78,97,62.171,33.463550643043725,Low,6.3010669140611055
23,31,Bowler,200,1036,54.69,93.68,37,14,32,9.8,4,67,48.346500000000006,12.284854194912354,Low,4.562949521835198
24,23,All-Rounder,26,6671,59.68,116.8,45,18,64,4.24,100,92,76.982,56.15353386799031,Medium,9.173379293692303
25,32,All-Rounder,228,4425,33.67,104.21,16,10,13,8.1,65,72,54.799,22.169879970279826,Low,4.524896634765392
26,22,Wicketkeeper,181,738,21.79,165.79,19,0,316,9.31,45,98,74.342,52.10913742522081,Medium,11.040075037377015
27,19,Batter,134,2735,18.66,101.35,5,5,164,4.87,74,96,61.237500000000004,32.03345818875384,Low,6.747649030164232
28,31,Bowler,168,1404,19.33,110.44,36,10,103,5.13,89,97,58.0565,27.160266868886506,Low,6.453775696061487
29,22,Batter,191,5683,46.1,106.03,25,2,58,8.56,84,99,70.6455,46.44621642116875,Low,8.287302297157472
30,31,All-Rounder,228,1894,34.45,146.43,47,12,130,9.72,54,63,59.315000000000005,29.088249036774915,Low,6.356478028780853
31,35,Batter,202,2479,63.83,169.15,34,19,143,4.52,79,84,78.38799999999999,58.30748136743495,Medium,10.554794830628797
32,20,Batter,217,2823,25.02,86.46,41,12,157,8.54,0,76,51.72,17.452949422064957,Low,6.512034034460965
33,32,Batter,149,6364,26.17,142.64,22,10,237,4.22,100,68,74.51650000000001,52.3764659022145,Medium,9.745997977852483
34,28,Batter,190,5374,37.89,82.91,25,7,330,9.91,70,78,72.157,48.76178658148924,Low,10.344023193670976
35,18,All-Rounder,165,5161,35.73,157.04,6,14,304,6.9,108,98,87.91050000000001,72.89564997587155,High,13.77273745363875
36,19,Wicketkeeper,165,4876,50.37,151.27,2,4,161,8.52,1,67,69.88499999999999,45.28115449134822,Low,8.378793624149312
37,22,All-Rounder,51,6286,56.94,149.44,10,7,151,4.07,40,98,83.273,65.79114675490804,Medium,11.86174647299318
38,22,Batter,85,6332,28.76,140.57,37,12,13,6.44,42,82,64.1895,36.5558287565779,Low,5.308547813717903
39,28,Batter,46,1191,19.17,147.46,20,16,230,8.17,35,85,63.7935,35.94916929016249,Low,7.505923904567034
40,26,All-Rounder,141,376,33.63,81.18,2,9,294,8.76,4,75,54.98650000000001,22.457124035817444,Low,7.793043021516307
41,19,Wicketkeeper,30,3342,47.42,157.66,37,9,142,5.18,69,65,68.98800000000001,43.906978881816336,Low,8.90253117817934
42,27,Bowler,210,7900,27.97,115.17,0,20,12,4.34,77,71,62.268,33.61215157294852,Low,5.825999297889838
43,27,Bowler,76,3808,24.72,153.5,13,1,263,9.57,59,90,75.421,53.76213127436789,Medium,10.48998898624267
44,24,Wicketkeeper,111,7807,20.15,90.47,20,4,166,6.46,70,70,63.52199999999999,35.53323988326401,Low,7.067272140531757
45,23,Bowler,203,193,59.66,98.11,21,20,324,9.56,46,92,71.5175,47.78209282196231,Low,10.908748287012518
46,26,Batter,147,6206,31.45,133.83,35,5,47,5.27,13,75,62.099000000000004,33.353248921877295,Low,5.888902787990376
47,18,Wicketkeeper,233,2763,44.94,124.14,45,13,60,9.19,52,96,64.982,37.769913673583524,Low,7.414871981878458
48,20,Batter,157,6550,25.74,101.0,28,2,60,7.35,53,78,59.835,29.88487257853254,Low,6.449248370962712
49,22,Batter,22,5328,39.06,145.29,15,17,18,7.52,14,93,67.0645,40.960237761487846,Low,7.479632920933016
50,35,Batter,114,611,54.88,155.45,14,2,148,9.29,103,78,70.30950000000001,45.93147505572539,Low,8.398027427891172
51,18,Wicketkeeper,40,4312,62.02,169.63,12,13,329,9.72,90,72,88.5235,73.8347465741358,High,14.136116642110977
52,29,Batter,221,4954,31.83,91.67,18,18,94,8.68,16,81,57.366,26.102442723533347,Low,5.932603132145177
53,32,Batter,26,5718,46.41,112.66,8,8,330,5.49,41,84,79.4875,59.991880567747494,Medium,12.033027056621771
54,34,Batter,141,4425,22.72,126.95,38,3,163,8.52,12,70,59.8225,29.86572297416337,Low,7.004010441836772
55,29,All-Rounder,45,994,36.43,130.83,3,20,183,6.32,107,90,67.72,41.96444301460733,Low,9.43484406270871
56,25,Wicketkeeper,30,3355,55.61,116.58,34,0,343,5.61,80,96,83.2495,65.755145498694,Medium,14.0594546094275
