player_id,age,role,matches,runs,batting_average,strike_rate,fifties,hundreds,wickets,economy,catches,fitness_score,raw_score,talent_score,future_potential,auction_value_cr,batting_impact,bowling_impact,experience_score,consistency_score
1,21,Batter,199,5253,42.35,129.77,16,18,2,8.36,14,80,67.51650000000001,31.46,Low,6.18,5495.759500000001,0.23923444976076558,4179,52
2,20,Bowler,69,1034,22.04,98.06,5,1,156,5.8,22,80,66.46900000000001,29.48,Low,7.69,2161.2424,26.896551724137932,1380,7
3,23,Wicketkeeper,97,4276,29.66,167.0,26,3,1,7.52,95,91,79.78999999999999,54.73,Medium,8.39,4953.22,0.13297872340425532,2231,32
4,26,Batter,196,6763,51.09,188.12,34,3,17,7.17,56,88,91.691,77.28,High,12.93,9611.0508,2.370990237099024,5096,40
5,24,Batter,21,4866,58.19,188.97,24,4,12,7.11,56,85,89.1245,72.42,High,11.72,10996.1643,1.6877637130801686,504,32
6,29,All-Rounder,63,4245,31.67,156.2,25,1,205,6.54,78,93,95.79099999999998,85.05,Elite,15.77,4946.854,31.345565749235472,1827,27
7,25,Bowler,128,777,15.4,116.27,5,0,275,5.3,8,77,75.0645,45.77,Medium,12.55,1790.558,51.88679245283019,3200,5
8,19,All-Rounder,112,2596,26.65,154.79,23,5,104,6.62,60,100,82.4855,59.83,Medium,10.98,4125.153499999999,15.709969788519636,2128,33
9,32,Bowler,77,285,14.93,98.07,2,1,329,6.33,28,67,72.9695,41.8,Medium,12.11,1464.1851,51.97472353870458,2464,4
10,22,Wicketkeeper,33,2385,50.83,110.7,15,13,9,6.25,98,99,79.39399999999999,53.97,Medium,9.47,5626.881,1.44,726,41
11,32,All-Rounder,151,1547,42.01,106.87,22,4,246,6.56,24,69,77.9375,51.21,Medium,12.93,4489.6087,37.5,4832,30
12,31,Bowler,126,6,29.08,113.79,2,0,229,7.65,45,69,70.5745,37.26,Low,10.27,3309.0132,29.934640522875817,3906,2
13,34,Bowler,49,765,25.25,96.97,4,0,253,5.3,6,63,69.6405,35.49,Low,10.7,2448.4925,47.735849056603776,1666,4
14,29,All-Rounder,71,1737,31.02,134.04,7,1,237,5.94,18,94,85.26599999999999,65.1,High,13.15,4157.9208,39.898989898989896,2059,9
15,35,Bowler,42,1351,19.51,97.49,2,1,346,4.85,39,84,86.05850000000001,66.61,High,15.03,1902.0299,71.34020618556701,1470,4
16,24,All-Rounder,112,4251,41.25,126.29,21,7,80,4.99,18,90,80.54050000000001,56.15,Medium,10.12,5209.462500000001,16.03206412825651,2688,35
17,18,Bowler,160,451,10.14,105.39,0,0,117,7.62,26,82,56.9725,11.48,Low,3.72,1068.6546,15.354330708661417,2880,0
18,34,Bowler,81,1370,19.71,96.96,5,1,162,7.14,31,66,61.477,20.02,Low,6.79,1911.0816,22.689075630252102,2754,7
19,21,Batter,178,6531,45.63,148.78,13,4,1,7.61,53,83,79.978,55.08,Medium,8.46,6788.8314,0.1314060446780552,3738,21
20,25,Bowler,58,1098,18.97,91.09,2,1,163,7.5,9,84,61.4905,20.04,Low,5.91,1727.9773,21.733333333333334,1450,4
21,35,Batter,22,7428,60.08,187.83,25,6,13,7.94,37,87,91.6645,77.23,High,13.26,11284.8264,1.63727959697733,770,37
22,30,Batter,52,6104,35.06,147.33,39,10,13,8.79,72,74,73.9855,43.72,Medium,7.15,5165.389800000001,1.478953356086462,1560,59
23,24,All-Rounder,65,1739,39.48,132.53,28,5,64,4.2,71,96,83.0215,60.85,High,10.59,5232.2844,15.238095238095237,1560,38
24,34,Bowler,24,1040,11.6,79.29,4,0,272,7.45,30,63,63.063500000000005,23.02,Low,8.07,919.764,36.51006711409396,816,4
25,25,Batter,168,3671,47.58,160.86,43,11,29,7.04,50,77,78.23500000000001,51.78,Medium,8.9,7653.718800000001,4.119318181818182,4200,65
26,26,Wicketkeeper,43,4457,38.72,165.03,9,0,7,8.48,122,73,79.3345,53.86,Medium,8.59,6389.9616,0.8254716981132075,1118,9
27,20,Bowler,139,543,12.65,87.45,0,0,194,5.14,33,97,70.7885,37.66,Low,8.46,1106.2425,37.7431906614786,2780,0
28,27,Batter,180,7543,43.98,166.44,18,9,3,9.56,80,74,80.86599999999999,56.76,Medium,9.26,7320.031199999999,0.3138075313807531,4860,36
29,26,All-Rounder,164,2362,42.94,112.22,25,4,179,5.95,16,72,76.459,48.41,Medium,11.24,4818.7267999999995,30.084033613445378,4264,33
30,31,All-Rounder,21,1514,33.34,107.85,13,2,239,5.77,100,73,85.0375,64.67,High,14.06,3595.719,41.421143847487,651,17
31,35,Batter,38,3616,63.35,168.37,19,18,1,9.34,80,64,76.8925,49.23,Medium,8.79,10666.2395,0.10706638115631692,1330,55
32,31,Bowler,20,631,17.29,116.65,0,1,153,6.73,47,63,63.1765,23.24,Low,7.64,2016.8785,22.734026745913816,620,2
33,29,Wicketkeeper,168,3266,52.77,116.57,15,5,6,6.1,144,80,82.52850000000001,59.92,Medium,9.94,6151.3989,0.9836065573770493,4872,25
